iter	Passed	Remaining
0	15	3164
1	28	2818
2	42	2766
3	57	2836
4	72	2818
5	87	2815
6	101	2792
7	115	2765
8	130	2765
9	142	2705
10	157	2714
11	173	2713
12	186	2681
13	198	2636
14	211	2606
15	224	2587
16	236	2550
17	249	2526
18	263	2506
19	275	2478
20	287	2453
21	300	2435
22	313	2415
23	328	2408
24	341	2389
25	355	2380
26	367	2353
27	379	2328
28	393	2322
29	406	2301
30	419	2285
31	432	2270
32	446	2259
33	459	2243
34	473	2230
35	486	2214
36	497	2193
37	512	2183
38	525	2170
39	538	2154
40	550	2136
41	563	2121
42	580	2117
43	593	2102
44	607	2093
45	619	2074
46	632	2058
47	646	2048
48	659	2031
49	671	2014
50	684	1998
51	696	1980
52	710	1970
53	724	1959
54	738	1947
55	751	1932
56	763	1915
57	778	1905
58	791	1891
59	805	1878
60	818	1864
61	832	1852
62	846	1840
63	859	1827
64	873	1813
65	885	1797
66	900	1786
67	911	1770
68	925	1757
69	939	1744
70	951	1727
71	963	1713
72	977	1701
73	991	1688
74	1004	1673
75	1017	1659
76	1028	1642
77	1041	1629
78	1055	1617
79	1070	1605
80	1082	1590
81	1096	1577
82	1110	1564
83	1124	1552
84	1138	1539
85	1150	1525
86	1166	1515
87	1205	1534
88	1268	1581
89	1283	1568
90	1298	1555
91	1314	1542
92	1333	1534
93	1348	1520
94	1364	1508
95	1381	1496
96	1397	1483
97	1411	1469
98	1419	1447
99	1437	1437
100	1452	1424
101	1466	1408
102	1480	1393
103	1493	1378
104	1506	1363
105	1523	1351
106	1538	1337
107	1550	1321
108	1563	1305
109	1577	1290
110	1589	1274
111	1603	1259
112	1617	1245
113	1630	1230
114	1647	1218
115	1660	1202
116	1673	1187
117	1689	1173
118	1702	1158
119	1713	1142
120	1724	1126
121	1737	1111
122	1751	1096
123	1763	1080
124	1777	1066
125	1790	1051
126	1805	1037
127	1818	1022
128	1831	1007
129	1844	993
130	1859	979
131	1875	966
132	1888	951
133	1901	936
134	1913	921
135	1926	906
136	1938	891
137	1952	877
138	1967	863
139	1980	848
140	1994	834
141	2007	820
142	2022	806
143	2034	791
144	2049	777
145	2062	762
146	2076	748
147	2090	734
148	2101	719
149	2115	705
150	2129	690
151	2143	676
152	2156	662
153	2170	648
154	2184	634
155	2199	620
156	2213	606
157	2227	592
158	2243	578
159	2255	563
160	2269	549
161	2284	535
162	2293	520
163	2306	506
164	2320	492
165	2335	478
166	2348	463
167	2361	449
168	2376	435
169	2389	421
170	2403	407
171	2416	393
172	2434	379
173	2447	365
174	2462	351
175	2477	337
176	2492	323
177	2507	309
178	2520	295
179	2535	281
180	2550	267
181	2562	253
182	2576	239
183	2588	225
184	2603	211
185	2616	196
186	2629	182
187	2643	168
188	2656	154
189	2669	140
190	2683	126
191	2697	112
192	2711	98
193	2726	84
194	2738	70
195	2753	56
196	2768	42
197	2783	28
198	2798	14
199	2812	0
